"Назив","Датум настанка","Датум измене","УРЛ","Слика","Опис"
"slweb","11.11.2020","04.03.2021","https://github.com/Strahinja/slweb","/img/programi/c/slweb-001.webp","Једноставни статички генератор веб страна"
"table","16.09.2020","04.03.2021","https://github.com/Strahinja/table","/img/programi/c/table-001.webp","Помоћни програм за форматирање и приказ CSV-а из командне линије"
"Библиотека","12.01.1999","08.06.1999","/programi/paskal/Bibliote.zip","/img/programi/paskal/bibliote-02.webp","Програм за евиденцију књига у библиотеци (матурски рад)"
"Frakt","11.07.2001","10.08.2001","/programi/paskal/frakt.zip","/img/programi/paskal/frakt-01.webp","Програм за цртање фрактала: FRAKT.EXE = Паскал + BGI графика; FRK.EXE = Паскал + Асемблер. Број итерација: око 20 даје детаљне фрактале. +/- = зумирање/одзумирање; ←/↑/→/↓ (на нумеричкој),односно 4/8/6/2 = померање"
"Hangman","14.07.1999","16.09.1999","/programi/paskal/Hangman.zip","/img/programi/paskal/hangman-01.webp","Игра погађања речи"
"Лавиринт","18.02.2000","21.02.2000","/programi/paskal/lavirint.zip","/img/programi/paskal/lavirin3.webp","Програм за тражење изласка из лавиринта. LAVIRINT.EXE = ASCII верзија; LAVIRIN2.EXE = текстуални интерфејс; LAVIRIN3.EXE = BGI графика; За име фајла и BGI драјвер може се притиснути Enter. Предложена пауза у msec: 5."
"Rot3D","04.08.2001","22.02.2007","/programi/paskal/rot3d.zip","/img/programi/paskal/rot3d3.webp","3D анимација коцке у Паскалу и Асемблеру."
"Simhit","12.10.1996","","/programi/paskal/simhit.zip","/img/programi/paskal/simhit-01.webp","Симулатор косог хица. Програм који сам написао у првом разреду гимназије. Препоручени параметри – брзина: 250, угао: 45 (пример)."
"Звезде","15.02.2007","","/programi/paskal/zvez.zip","/img/programi/paskal/zvez.webp","Паралаксна анимација звезданог неба у Паскалу и Асемблеру."
"Пахуље","15.04.2001","20.05.2001","/programi/c/pahulje.zip","/img/programi/c/pahulje-02.webp","Игра настављања низа симбола (семинарски рад из Основа рачунарских система). ←/→ = позиционирање, Enter/Space = одигравање потеза. F10 = мени. F5 померање прозора стрелицама. Shift+F5 промена величине прозора за који је то дозвољено (овде само у дијалогу Подешавања) стрелицама. Игра је пример употребе вишеплатформске објектне библиотеке Mob-E (Multiplatform OBject Environment) коју сам изградио са колегама за потребе семинарског рада. Она омогућава да се исти програм искомпајлира и за ГНУ са Линуксом користећи библиотеку ncurses."
"Turing","09.10.1999","","/programi/c/turing.zip","/img/programi/c/turing1.webp","Симулатор Тјурингове машине, програм инспирисан теоријом из Основа програмирања. Програм рачуна n-1n−1 за унето nn. Уочљивији резултати се добијају за степене двојке, рецимо 256."

